Liednummer(neu)	Liednummer(alt)	Titel
n.v.	626,5	Ein neues Gebot gibt uns der Herr
n.v.	844	Ein neues Lied singt Gott, dem Herren
301	n.v.	Ein reines Herz erschaffe mir, Gott, IV (Kv)
35,1	n.v.	Ein Tag sagt es jubelnd dem andern, VII (Kv)
479	642	Eine große Stadt ersteht
102	n.v.	Eine ruhige Nacht (Kanon)
250	n.v.	Engel auf den Feldern singen (1-3-stg.) (verändert)
664,5	n.v.	Er befiehlt seinen Engeln, V (Kv)
633,9	154,1	Er hat euch (uns) fähig (würdig) gemacht (Kol 1, geändert)
639,1	171,1	Erbarme dich meiner, o Gott, IV (Kv)
639,1	190,1	Erbarme dich meiner, o Gott, IV (Kv)
268	164	Erbarme dich, erbarm' dich mein
411	841	Erde, singe
467	259	Erfreue dich, Himmel, erfreue dich, Erde
353	n.v.	Erhabene Dreifaltigkeit
439	302	Erhör', o Gott, mein Flehen (verändert)
181,3	563	Erhöre uns, Christus (gregorianisch)
632,1	n.v.	Erhöre uns, Herr (4-stg.)
n.v.	118,2	Erscheine strahlend über den Himmeln
n.v.	225	Erschienen ist der herrlich Tag
n.v.	133	Es ist ein Ros entsprungen
243	132	Es ist ein Ros' entsprungen
725	806	Es kam ein treuer Bote
236	114	Es kommt ein Schiff
549	n.v.	Es wird sein in den letzten Tagen
n.v.	664,1	Ewige Freude schenke ihnen, Herr
n.v.	85,1	Ewiges Leben schenke ihnen o Herr, es leuchte ihnen das ewige Licht
n.v.	664,2	Ewiges Leben schenke ihnen, o Herr
875	n.v.	Fest soll mein Taufbund
525	576	Freu dich, du Himmelskönigin
741	813	Freu dich, Erd' und Sternenzelt
337	n.v.	Freu dich, erlöste Christenheit
312,6	n.v.	Freudig lasst uns schöpfen, V (Kv)
n.v.	117,3	Freuet euch allzeit im Herrn
n.v.	118,5	Freut euch allezeit: wir ziehn dem Herrn entgegen
732	808	Freut euch im Herrn
654,2	n.v.	Freut euch mit Jerusalem, VII (Kv)
n.v.	631,1	Freut euch und jubelt
56,1	741,1	Freut euch, wir sind Gottes Volk, V (Kv)
651,5	646,1	Freut euch, wir sind Gottes Volk, V (Kv)
651,5	722,1	Freut euch, wir sind Gottes Volk, V (Kv)
651,5	741,1	Freut euch, wir sind Gottes Volk, V (Kv)
68,1	n.v.	Friede sei in deinen Mauern, VI (Kv)
73,1	n.v.	Friede sei in deinen Mauern, VI (Kv)
633,5	n.v.	Frieden verkündet der Herr seinem Volk, II (Kv)
548	n.v.	Für alle Heil'gen
292	n.v.	Fürwahr, er trug unsere Krankheit
649,7	n.v.	Gebenedeit bist du, VII (Kv)
536	573	Gegrüßet seist du, Königin
650,1	602	Gegrüßet seist du, Maria (geändert)
865	n.v.	Geh aus, mein Herz
859,7	n.v.	Geh mit uns auf unserm Weg
859,5	n.v.	Geh ruhig und gelassen (Kanon)
842	650,1	Geheiligt hat der Herr sein Volk, VII/VIII (Kv)
n.v.	360,6	Geheimnis des Glaubens II
n.v.	360,5	Geheimnis des Glaubens l
n.v.	366,4	Gehet hin in Frieden
591,4	366,4	Gehet hin in Frieden (verändert)
591,6	366,5	Gehet hin in Frieden, Halleluja (verändert)
n.v.	366,5	Gehet hin in Frieden. Halleluja
454	646,5	Geht in alle Welt, VI (Kv)
350	n.v.	Geist der Zuversicht (Kanon)
252	130	Gelobet seist du, Jesu Christ
328	218	Gelobt sei Gott im höchsten Thron
n.v.	610	Gelobt sei Gott in aller Welt
n.v.	837	Gelobt sei Gott, der Vater
799	854	Gelobt sei Jesus Christus
375	560	Gelobt seist du, Herr Jesu Christ
559	285,1	Gelobt seist du, mein Herr (Sonnengesang des Franziskus)
781	230	Gen Himmel aufgefahren ist
616,4	677,2	Gepriesen bist du, Herr (Lobgesang aus Daniel, geändert)
623,7	681	Gepriesen sei der Herr, I - Benedictus - Lobgesang des Zacharias (geändert)
617,2	681	Gepriesen sei der Herr, V (VIII) - Benedictus - Lobgesang des Zacharias (geändert)
649,8	n.v.	Gepriesen sei Gott, Eph 1,3ff.
n.v.	198,2	Gepriesen, der kommt im Namen des Herrn
n.v.	87	Gesät wird in Schwachheit, auferweckt in Kraft
775	832	Gewaltiger Herrscher
n.v.	641	Gleichwie mich mein Vater
173,1	n.v.	Gloria (Lécot)
114	411	Gloria (Lux et origo)
109	406	Gloria (Missa de Angelis)
105	402	Gloria (Missa mundi)
168,1	n.v.	Gloria in excelsis Deo (Taizé, Kanon)
831	n.v.	Gloria, gloria in excelsis Deo (Kv, in Verbindung mit gesprochenem Text)
n.v.	894	Gnädigster Erbarmer
n.v.	305	Gott der Vater, steh uns bei
160	524	Gott des Vaters ew'ger Sohn
468	n.v.	Gott gab uns Atem
43,1	n.v.	Gott hat dich gesegnet auf ewig, V (Kv)
907	n.v.	Gott hat mir längst einen Engel gesandt
821	n.v.	Gott in der Höh' sei Ehre
172	464	Gott in der Höh' sei Preis und Ehr'
354	489	Gott ist dreifaltig einer
387	n.v.	Gott ist gegenwärtig
835,2	n.v.	Gott lädt uns ein (Kv)
464	297	Gott liebt diese Welt
399	n.v.	Gott loben in der Stille
n.v.	211	Gott redet, und Quellen springen auf
477	640	Gott ruft sein Volk zusammen
n.v.	613	Gott sei durch euch gepriesen
215	494	Gott sei gelobet und gebenedeiet
823	795	Gott soll gepriesen werden
340	232,5	Gott steigt empor, VI (Kv)
n.v.	85,2	Gott tilge mein Vergehen, denn du bist reich an Erbarmen
429	290	Gott wohnt in einem Lichte
539	605	Gott, aller Schöpfung heiliger Herr
n.v.	733,1	Gott, bleib nicht fern von mir
815	n.v.	Gott, den Allherrscher
499	74	Gott, der nach seinem Bilde (geändert)
829,2	n.v.	Gott, du bist gut (Kv, geändert)
616,1	n.v.	Gott, du mein Gott, dich suche ich, IV (Kv)
230	116	Gott, heil'ger Schöpfer aller Stern
n.v.	308	Gott, mein Gott, warum hast du mich verlassen
n.v.	529,3	Gott, sei uns gnädig
n.v.	172,3	Gott, tilge mein Vergehn
n.v.	119,4	Gott, unser Herr, spendet seinen Segen
859,6	n.v.	Gott, unser Vater, höre uns (4-stg.)
862	n.v.	Gott, wir bitten dich, sorg du für uns (Kanon)
506	n.v.	Gott, wir vertrauen dir diesen Menschen an
758	161	Gottes Lamm, Herr Jesu Christ
259	n.v.	Gottes Stern leuchte uns
450	n.v.	Gottes Wort ist wie Licht in der Nacht
497	546	Gottheit tief verborgen
n.v.	626,1	Groß und gewaltig ist der Herr
n.v.	757,1	Groß und gewaltig ist der Herr
913	889	Großer Godhard
